domains,unicode,descript-IDNA,translate-IDNA,tags
xn--nxdv32bvb,መልአክ,"Letters + ETHIOPIC SYLLABLE MA, ETHIOPIC SYLLABLE LE, ETHIOPIC SYLLABLE GLOTTAL A, ETHIOPIC SYLLABLE KE",,PUNY_IDNA
edmeds,,,,
stereovision,,,,
fishtoday,,,,
pseudonymic,,,,
isleof,,,,
collectanea,,,,
waveskipper,,,,
mindlessdao,,,,
daopensea,,,,
xn--k0da6h2o,ታይታን,"Letters + ETHIOPIC SYLLABLE TAA, ETHIOPIC SYLLABLE YE, ETHIOPIC SYLLABLE TAA, ETHIOPIC SYLLABLE NE",,PUNY_IDNA
rspi,,,,4L
xn--t7h1220oqbd,📷🧑⚕,"Letters + CAMERA, ADULT, STAFF OF AESCULAPIUS",,PUNY_IDNA
physicalism,,,,
8obo8,,,,5C
firstnumber,,,,
xn--jxd24a,ሉክ,"Letters + ETHIOPIC SYLLABLE LU, ETHIOPIC SYLLABLE KE",,PUNY_IDNA
thent,,,,5L
regalio,,,,
johh,,,,4L
xn--whale-gha,whale©,Letters + COPYRIGHT SIGN,,PUNY_IDNA
xn--kcr34o,失利,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
valentinhaft,,,,
ebooklist,,,,
firemuse,,,,
kickendorf,,,,
warbach,,,,
graymullet,,,,
seaborder,,,,
chainvirus,,,,
woolest,,,,
byronbaycookies,,,,
news24seven,,,,
cryptodrillin,,,,
s414s,,,,5C
ecology365,,,,
buvau,,,,5L
sugarmilf,,,,
xn--ygb1a1a,فيس,Arabic/Urdu/Uyghur,,"PUNY_IDNA,Arabic"
tigerstripes,,,,
u414u,,,,5C
yachtgig,,,,
xn--b6hggd,♠♣♦♥,"Letters + BLACK SPADE SUIT, BLACK CLUB SUIT, BLACK DIAMOND SUIT, BLACK HEART SUIT",,PUNY_IDNA
xn--e1apa9c,ныне,Cyrillic (Russian/Ukrainian),,"PUNY_IDNA,Cyrillic"
earthtales,,,,
sabirli,,,,
abrief,,,,
sneekz,,,,
roadstock,,,,
transtheism,,,,
drawstraws,,,,
sunology,,,,
unadjoined,,,,
lucky-dip,,,,
dwebpc,,,,
ch59,,,,4C
walkersdorf,,,,
ensplan,,,,
diger,,,,5L
dohai,,,,5L
mechanicalguru,,,,
kienzen,,,,
xn--tu8hy9etc,📷🧑🦳,"Letters + CAMERA, ADULT, EMOJI COMPONENT WHITE HAIR",,PUNY_IDNA
kirchental,,,,
5best,,,,5C
phytotomist,,,,
hnsgear,,,,
vierlings,,,,
waterlevel,,,,
thallogen,,,,
measuretime,,,,
dolua,,,,5L
oftering,,,,
xn--nxd1a1ptq,ማዕበል,"Letters + ETHIOPIC SYLLABLE MAA, ETHIOPIC SYLLABLE PHARYNGEAL E, ETHIOPIC SYLLABLE BA, ETHIOPIC SYLLABLE LE",,PUNY_IDNA
folkfest,,,,
xn--4-636b,4月,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
anglephone,,,,
xn--4qwq02h,气魄,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
deeeznuts,,,,
viehausen,,,,
weisserhof,,,,
magginoodles,,,,
vinier,,,,
watersad,,,,
xefe,,,,4L
vichtenstein,,,,
tld1hns,,,,
coolfellow,,,,
ch55,,,,4C
xn--qg8hvy,💕🌊,"Letters + TWO HEARTS, WATER WAVE",,PUNY_IDNA
thenorrisnuts,,,,
xn--p77hlai,🇺🇷🇱,REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER R + REGIONAL INDICATOR SYMBOL LETTER L,,PUNY_IDNA
treemax,,,,
xn--b1abqa1abor,говорити,Cyrillic (Russian/Ukrainian),,"PUNY_IDNA,Cyrillic"
kigerl,,,,
boatswainschair,,,,
authpass,,,,
ele7en,,,,
driftwoodpics,,,,
e-gift,,,,
dildwar,,,,
natureself,,,,
simim,,,,5L
b414d,,,,5C
holdwater,,,,
blokman,,,,
seanut,,,,
wendbach,,,,
xn--7or33cz1i,小嘎古,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
cookingherbs,,,,
xn--2p8h84h,👑🪢,"Letters + CROWN, KNOT",,PUNY_IDNA
xn--4gqz7lx5b01a,一只坏噜,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
yearsgrowth,,,,
xn--cest9bgz1cwhh,篮球天地,Chinese/Japanese/Korean,,"PUNY_IDNA,CJK"
p414q,,,,5C
boatselfie,,,,
driftwoodphotos,,,,
adultwater,,,,
opusculum,,,,
tradidas,,,,
xn--93d8bwl,ድጋፍ,"Letters + ETHIOPIC SYLLABLE DE, ETHIOPIC SYLLABLE GAA, ETHIOPIC SYLLABLE FE",,PUNY_IDNA
dragovici,,,,
domainse,,,,
